,Unnamed: 0,Time,X_velocity,Y_velocity,Z_velocity,X_angular,Y_angular,Z_angular,X_acceleration,Y_acceleration,Z_acceleration,Vertical_Speed,Pitch,Bank,Yaw,IAS,Greyout,IOP,Blood_Pressure,Temperature,Breath,SPO2,OPP
343,343,6.232,-72.89277649,-61.09706879,135.0583649,0.002300674,-0.011184409,-0.121423811,0.049435332,-0.844376266,0.009607906,-61.09706879,-0.458158553,0.043922346,2.066024303,141.7569733,0,13.09268985958381,115.30424248451467,36.419852869561005,16.139864832828785,98.24417926035652,102.21155262493086
344,344,6.249,-72.85740662,-61.44645309,135.0043488,0.002610476,-0.011116728,-0.118674234,0.049462952,-0.844360471,0.009605721,-61.44645309,-0.460561335,0.04391396,2.066155434,141.8111725,0,13.091843511089113,115.30419148313584,36.41948899684453,16.140824569984783,98.24377005464889,102.21234797204673
345,345,6.266,-72.82174683,-61.79690933,134.9494324,0.002921185,-0.011029932,-0.116042219,0.04982543,-0.851312518,0.010788972,-61.79690933,-0.462910473,0.043911044,2.066287518,141.8660889,0,13.09043407448562,115.32664005950828,36.41912310072487,16.14077063343176,98.24747635598023,102.23620598502266
346,346,6.285,-72.78590393,-62.14720917,134.8942108,0.003230551,-0.010943194,-0.113410115,0.049851075,-0.851297736,0.010786738,-62.14720917,-0.465206951,0.043913696,2.066420078,141.9217377,0,13.089645522107018,115.32659232602622,36.418756372775206,16.141755825376688,98.24705705527705,102.2369468039192
347,347,6.302,-72.74987793,-62.49814987,134.8382568,0.003539626,-0.010838677,-0.110909954,0.050027333,-0.855876148,0.011933679,-62.49814987,-0.467452377,0.043922048,2.066553593,141.9781342,0,13.088493547465582,115.341377072129,36.41838838627695,16.142078322859884,98.24934851606274,102.25288352466342
348,348,6.319,-72.74987793,-62.49814987,134.8382568,0.003539626,-0.010838677,-0.110909954,0.050027333,-0.855876148,0.011933679,-62.49814987,-0.467452377,0.043922048,2.066553593,141.9781342,0,13.088493547465582,115.341377072129,36.41838838627695,16.142078322859884,98.24934851606274,102.25288352466342
349,349,6.336,-72.71367645,-62.84893799,134.7820129,0.003847372,-0.010734214,-0.108409695,0.050050974,-0.855862439,0.01193142,-62.84893799,-0.469647765,0.043936193,2.066687107,142.0353394,0,13.087759034598403,115.34133280168714,36.418019604053875,16.14309084852386,98.24891836764719,102.25357376708874
350,350,6.353,-72.67738342,-63.19996262,134.725174,0.004153702,-0.010613354,-0.106053405,0.050049391,-0.858228922,0.013037398,-63.19996262,-0.471794784,0.04395625,2.066820621,142.093338,0,13.086847120013429,115.34897496206985,36.41765023747838,16.1437673430118,98.2498898941424,102.26212784205642
351,351,6.37,-72.64091492,-63.55083847,134.6680603,0.004458733,-0.010492541,-0.103697032,0.050071057,-0.858216286,0.013035137,-63.55083847,-0.473894656,0.043982301,2.066954136,142.1521606,0,13.086162944057671,115.34893415578509,36.417280073193936,16.144808280882895,98.24944844776468,102.26277121172741
352,352,6.387,-72.60443115,-63.90158081,134.6105042,0.004761294,-0.010356753,-0.101494357,0.049902678,-0.858540118,0.014095834,-63.90158081,-0.475949168,0.04401445,2.067086697,142.2118378,0,13.085472974813765,115.34997992973516,36.41690990402663,16.145814843038025,98.24919966452137,102.26450695492139
353,353,6.405,-72.56778717,-64.25218201,134.5526733,0.005062599,-0.010221005,-0.0992916,0.049922399,-0.858528554,0.014093582,-64.25218201,-0.477959543,0.044052772,2.067218304,142.2723846,0,13.084835210954507,115.34994258522552,36.416539009360726,16.146886080563714,98.24874613149379,102.26510737427101
354,354,6.421,-72.53114319,-64.60248566,134.4944305,0.005360876,-0.010071337,-0.097248472,0.049465522,-0.858101189,0.015124339,-64.60248566,-0.479927719,0.04409736,2.067349434,142.333786,0,13.084253922067802,115.3485624655182,36.41616827397159,16.148033551438285,98.24804041221996,102.2643085434504
355,355,6.438,-72.53114319,-64.60248566,134.4944305,0.005360876,-0.010071337,-0.097248472,0.049465522,-0.858101189,0.015124339,-64.60248566,-0.479927719,0.04409736,2.067349434,142.333786,0,13.084253922067802,115.3485624655182,36.41616827397159,16.148033551438285,98.24804041221996,102.2643085434504
356,356,6.455,-72.49434662,-64.95265961,134.4359283,0.005657945,-0.009921706,-0.09520527,0.04948334,-0.85809058,0.01512211,-64.95265961,-0.481855005,0.044148277,2.067478657,142.3960724,0,13.083659147359157,115.34852820520064,36.415796845060115,16.149135378071303,98.2475746096911,102.26486905784148
357,357,6.472,-72.45767975,-65.30205536,134.3772736,0.005950743,-0.009760005,-0.093329355,0.049036212,-0.854820609,0.016081594,-65.30205536,-0.483743221,0.04420561,2.067606449,142.459259,0,13.083359910298572,115.33796843875065,36.41542648121453,16.150732497106176,98.24517472882192,102.25460852845208
358,358,6.489,-72.42086792,-65.65131378,134.3183594,0.006242393,-0.009598337,-0.091453381,0.049052194,-0.854811072,0.016079403,-65.65131378,-0.485593945,0.044269398,2.067732334,142.5233612,0,13.082803477986428,115.33793764123587,36.41505546608089,16.151866242344266,98.24469616365337,102.25513416324944
359,359,6.506,-72.38424683,-65.99951935,134.2593842,0.006527019,-0.009426137,-0.089748457,0.048481561,-0.850042403,0.01698219,-65.99951935,-0.487409025,0.044339679,2.067856312,142.5883942,0,13.082667857192352,115.32253867520642,36.41468596823167,16.153716888378614,98.24139629191802,102.23987081801407
360,360,6.523,-72.3474884,-66.34760284,134.2001953,0.006810561,-0.009253966,-0.088043489,0.048495766,-0.850033939,0.016980054,-66.34760284,-0.489189893,0.044416491,2.067978382,142.6543579,0,13.082145727591632,115.3225113438913,36.41431584903117,16.154883359490434,98.24090462750955,102.24036561629967
361,361,6.541,-72.31098175,-66.69441223,134.141037,0.007087593,-0.009072709,-0.086511321,0.047818046,-0.843981683,0.017830782,-66.69441223,-0.490938604,0.044499855,2.068097591,142.7212524,0,13.08215135177365,115.30296839511368,36.41394767074892,16.15695663074185,98.23683175505265,102.22081704334003
362,362,6.557,-72.31098175,-66.69441223,134.141037,0.007087593,-0.009072709,-0.086511321,0.047818046,-0.843981683,0.017830782,-66.69441223,-0.490938604,0.044499855,2.068097591,142.7212524,0,13.08215135177365,115.30296839511368,36.41394767074892,16.15695663074185,98.23683175505265,102.22081704334003
363,363,6.575,-72.27433014,-67.04109192,134.081665,0.00736361,-0.008891478,-0.084979117,0.047830533,-0.843974173,0.017828707,-67.04109192,-0.492656618,0.044589803,2.068214417,142.789093,0,13.081659499808618,115.30294414573206,36.41357883709432,16.158156117284335,98.23632680741267,102.22128464592343
364,364,6.592,-72.23797607,-67.38630676,134.0224304,0.007633467,-0.00870249,-0.083619028,0.047060054,-0.836785555,0.018623902,-67.38630676,-0.494345903,0.04468637,2.068328381,142.8578644,0,13.081789990474089,115.27973325597074,36.41321227526533,16.16043114450419,98.23156776799824,102.19794326549665
365,365,6.609,-72.20149231,-67.73139191,133.9629974,0.007902374,-0.008513526,-0.08225891,0.047070954,-0.836779058,0.018621884,-67.73139191,-0.49600786,0.044789582,2.068439007,142.9275665,0,13.081324402325151,115.27971227889738,36.41284513440865,16.161663365633114,98.23104968566223,102.19838787657223
366,366,6.627,-72.16527557,-68.07501984,133.903656,0.008164784,-0.008317756,-0.081068739,0.046076965,-0.829760432,0.019384073,-68.07501984,-0.497644514,0.044899456,2.068546772,142.9981842,0,13.081465372629612,115.25705174665916,36.41248010869327,16.16394718908087,98.22637728525054,102.17558637402955
